STATEFIP,State,State_Abbr,Year_Legalized,Ever_Legalized
1,Alabama,AL,,0
2,Alaska,AK,2014,1
4,Arizona,AZ,,0
5,Arkansas,AR,,0
6,California,CA,2016,1
8,Colorado,CO,2012,1
9,Connecticut,CT,,0
10,Delaware,DE,,0
11,District of Columbia,DC,,0
12,Florida,FL,,0
13,Georgia,GA,,0
15,Hawaii,HI,,0
16,Idaho,ID,,0
17,Illinois,IL,,0
18,Indiana,IN,,0
19,Iowa,IA,,0
20,Kansas,KS,,0
21,Kentucky,KY,,0
22,Louisiana,LA,,0
23,Maine,ME,2016,1
24,Maryland,MD,,0
25,Massachusetts,MA,2016,1
26,Michigan,MI,2018,1
27,Minnesota,MN,,0
28,Mississippi,MS,,0
29,Missouri,MO,,0
30,Montana,MT,,0
31,Nebraska,NE,,0
32,Nevada,NV,2016,1
33,New Hampshire,NH,,0
34,New Jersey,NJ,,0
35,New Mexico,NM,,0
36,New York,NY,,0
37,North Carolina,NC,,0
38,North Dakota,ND,,0
39,Ohio,OH,,0
40,Oklahoma,OK,,0
41,Oregon,OR,2014,1
42,Pennsylvania,PA,,0
44,Rhode Island,RI,,0
45,South Carolina,SC,,0
46,South Dakota,SD,,0
47,Tennessee,TN,,0
48,Texas,TX,,0
49,Utah,UT,,0
50,Vermont,VT,2018,1
51,Virginia,VA,,0
53,Washington,WA,2012,1
54,West Virginia,WV,,0
55,Wisconsin,WI,,0
56,Wyoming,WY,,0
